datetime,F1,F2,T
2018/8/15 16:00,0,0,0
2018/8/15 16:15,0,0,0
2018/8/15 16:30,0,0,0
2018/8/15 16:45,0,0,0
2018/8/15 17:00,0,0,0
2018/8/15 17:15,0,0,0
2018/8/15 17:30,0,0,0
2018/8/15 17:45,0,0,0
2018/8/15 18:00,0,0,0
2018/8/15 18:15,0,0,0
2018/8/15 18:30,0,0,0
2018/8/15 18:45,0,0,0
2018/8/15 19:00,0,0,0
2018/8/15 19:15,0,0,0
2018/8/15 19:30,0,0,0
2018/8/15 19:45,0,0,0
2018/8/15 20:00,0,0,0
2018/8/15 20:15,0,0,0
2018/8/15 20:30,0,0,0
2018/8/15 20:45,0,0,0
2018/8/15 21:00,0,0,0
2018/8/15 21:15,0,0,0
2018/8/15 21:30,0,0,0
2018/8/15 21:45,0.09,0,0
2018/8/15 22:00,0.91,2,0
2018/8/15 22:15,2.43,6,0
2018/8/15 22:30,3.2,7,0
2018/8/15 22:45,5.19,7,0
2018/8/15 23:00,4.66,15,0.063281
2018/8/15 23:15,4.97,35,0.182812
2018/8/15 23:30,5,24,0.130078
2018/8/15 23:45,4.12,39,0.221484
2018/8/16 0:00,3.89,85,0.485156
2018/8/16 0:15,4.03,66,0.400781
2018/8/16 0:30,4.5,63,0.379687
2018/8/16 0:45,7.15,67,0.435937
2018/8/16 1:00,8.42,65,0.379687
2018/8/16 1:15,6.27,123,0.73125
2018/8/16 1:30,6.95,161,1.001953
2018/8/16 1:45,7.79,346,2.369531
2018/8/16 2:00,8.38,357,2.08125
2018/8/16 2:15,8.78,300,1.719141
2018/8/16 2:30,11.7,281,1.680469
2018/8/16 2:45,10.57,335,1.916016
2018/8/16 3:00,9.73,305,1.747266
2018/8/16 3:15,10.99,209,1.297266
2018/8/16 3:30,20.92,166,0.928125
2018/8/16 3:45,38.39,138,0.84375
2018/8/16 4:00,105.99,236,1.413281
2018/8/16 4:15,88.35,138,0.776953
2018/8/16 4:30,178.92,94,0.629297
2018/8/16 4:45,116.95,194,1.184766
2018/8/16 5:00,114.57,316,1.933594
2018/8/16 5:15,148.27,238,1.395703
2018/8/16 5:30,199.16,159,0.959766
2018/8/16 5:45,226.4,318,1.873828
2018/8/16 6:00,208.03,269,1.567969
2018/8/16 6:15,188.2,287,1.722656
2018/8/16 6:30,163.18,356,2.049609
2018/8/16 6:45,172.71,295,1.613672
2018/8/16 7:00,183.22,383,2.074219
2018/8/16 7:15,187.42,414,2.555859
2018/8/16 7:30,173.96,566,3.375
2018/8/16 7:45,186.38,344,1.845703
2018/8/16 8:00,202.43,648,3.308203
2018/8/16 8:15,183.29,212,0.907031
2018/8/16 8:30,170.07,146,0.720703
2018/8/16 8:45,149.64,220,1.110937
2018/8/16 9:00,135.72,143,0.762891
2018/8/16 9:15,114.61,88,0.432422
2018/8/16 9:30,100.62,91,0.411328
2018/8/16 9:45,79.7,71,0.319922
2018/8/16 10:00,65.92,73,0.344531
2018/8/16 10:15,45.43,54,0.228516
2018/8/16 10:30,32.3,30,0.105469
2018/8/16 10:45,14.56,21,0.024609
2018/8/16 11:00,5,3,0
2018/8/16 11:15,0,0,0
2018/8/16 11:30,0,0,0
2018/8/16 11:45,0,0,0
2018/8/16 12:00,0,0,0
2018/8/16 12:15,0,0,0
2018/8/16 12:30,0,0,0
2018/8/16 12:45,0,0,0
2018/8/16 13:00,0,0,0
2018/8/16 13:15,0,0,0
2018/8/16 13:30,0,0,0
2018/8/16 13:45,0,0,0
2018/8/16 14:00,0,0,0
2018/8/16 14:15,0,0,0
2018/8/16 14:30,0,0,0
2018/8/16 14:45,0,0,0
2018/8/16 15:00,0,0,0
2018/8/16 15:15,0,0,0
2018/8/16 15:30,0,0,0
2018/8/16 15:45,0,0,0
2018/8/16 16:00,0,0,0
2018/8/16 16:15,0,0,0
2018/8/16 16:30,0,0,0
2018/8/16 16:45,0,0,0
2018/8/16 17:00,0,0,0
2018/8/16 17:15,0,0,0
2018/8/16 17:30,0,0,0
2018/8/16 17:45,0,0,0
2018/8/16 18:00,0,0,0
2018/8/16 18:15,0,0,0
2018/8/16 18:30,0,0,0
2018/8/16 18:45,0,0,0
2018/8/16 19:00,0,0,0
2018/8/16 19:15,0,0,0
2018/8/16 19:30,0,0,0
2018/8/16 19:45,0,0,0
2018/8/16 20:00,0,0,0
2018/8/16 20:15,0,0,0
2018/8/16 20:30,0,0,0
2018/8/16 20:45,0,0,0
2018/8/16 21:00,0,0,0
2018/8/16 21:15,0,0,0
2018/8/16 21:30,0,0,0
2018/8/16 21:45,0.9,5,0
2018/8/16 22:00,13.72,23,0
2018/8/16 22:15,42.49,28,0.098438
2018/8/16 22:30,64.47,35,0.154687
2018/8/16 22:45,100.11,49,0.267188
2018/8/16 23:00,125.78,111,0.682031
2018/8/16 23:15,165.18,151,0.928125
2018/8/16 23:30,191.02,195,1.198828
2018/8/16 23:45,227.24,255,1.525781
2018/8/17 0:00,247.68,358,2.063672
2018/8/17 0:15,276.65,380,1.965234
2018/8/17 0:30,289.88,412,2.021484
2018/8/17 0:45,310.06,429,2.08125
2018/8/17 1:00,317.1,610,3.223828
2018/8/17 1:15,331.75,628,2.833594
2018/8/17 1:30,337.03,681,3.596484
2018/8/17 1:45,350.17,308,1.567969
2018/8/17 2:00,356.81,677,2.819531
2018/8/17 2:15,370.54,759,3.916406
2018/8/17 2:30,378.7,772,3.849609
2018/8/17 2:45,392.06,792,3.860156
2018/8/17 3:00,400.28,811,3.846094
2018/8/17 3:15,410.2,815,3.88125
2018/8/17 3:30,412.91,835,3.888281
2018/8/17 3:45,414.16,853,3.916406
2018/8/17 4:00,411.21,889,3.860156
2018/8/17 4:15,409.36,889,3.673828
2018/8/17 4:30,409.12,876,3.649219
2018/8/17 4:45,412.65,876,3.7125
2018/8/17 5:00,422.56,829,3.6
2018/8/17 5:15,437.49,868,3.744141
2018/8/17 5:30,461.45,849,3.652734
2018/8/17 5:45,486.67,841,3.723047
2018/8/17 6:00,517.34,819,3.751172
2018/8/17 6:15,539.92,791,3.740625
2018/8/17 6:30,563.86,770,3.628125
2018/8/17 6:45,570.81,739,3.529687
2018/8/17 7:00,575.55,712,3.420703
2018/8/17 7:15,555.53,686,3.343359
2018/8/17 7:30,535.29,638,3.185156
2018/8/17 7:45,494.13,598,2.95664
2018/8/17 8:00,464.28,570,2.745703
2018/8/17 8:15,421.13,525,2.467969
2018/8/17 8:30,395.16,491,2.239453
2018/8/17 8:45,354.12,436,1.944141
2018/8/17 9:00,327.78,381,1.634766
2018/8/17 9:15,281.1,324,1.374609
2018/8/17 9:30,248.51,269,1.103906
2018/8/17 9:45,196.25,209,0.815625
2018/8/17 10:00,161.33,153,0.5625
2018/8/17 10:15,110.12,101,0.348047
2018/8/17 10:30,77.7,60,0.179297
2018/8/17 10:45,33.79,25,0.007031
2018/8/17 11:00,10.44,7,0
2018/8/17 11:15,0,0,0
2018/8/17 11:30,0,0,0
2018/8/17 11:45,0,0,0
2018/8/17 12:00,0,0,0
2018/8/17 12:15,0,0,0
2018/8/17 12:30,0,0,0
2018/8/17 12:45,0,0,0
2018/8/17 13:00,0,0,0
2018/8/17 13:15,0,0,0
2018/8/17 13:30,0,0,0
2018/8/17 13:45,0,0,0
2018/8/17 14:00,0,0,0
2018/8/17 14:15,0,0,0
2018/8/17 14:30,0,0,0
2018/8/17 14:45,0,0,0
2018/8/17 15:00,0,0,0
2018/8/17 15:15,0,0,0
2018/8/17 15:30,0,0,0
2018/8/17 15:45,0,0,0
2018/8/17 16:00,0,0,0
2018/8/17 16:15,0,0,0
2018/8/17 16:30,0,0,0
2018/8/17 16:45,0,0,0
2018/8/17 17:00,0,0,0
2018/8/17 17:15,0,0,0
2018/8/17 17:30,0,0,0
2018/8/17 17:45,0,0,0
2018/8/17 18:00,0,0,0
2018/8/17 18:15,0,0,0
2018/8/17 18:30,0,0,0
2018/8/17 18:45,0,0,0
2018/8/17 19:00,0,0,0
2018/8/17 19:15,0,0,0
2018/8/17 19:30,0,0,0
2018/8/17 19:45,0,0,0
2018/8/17 20:00,0,0,0
2018/8/17 20:15,0,0,0
2018/8/17 20:30,0,0,0
2018/8/17 20:45,0,0,0
2018/8/17 21:00,0,0,0
2018/8/17 21:15,0,0,0
2018/8/17 21:30,0,0,0
2018/8/17 21:45,0.07,1,0
2018/8/17 22:00,2.84,9,0
2018/8/17 22:15,9.06,37,0.193359
2018/8/17 22:30,14.87,69,0.355078
2018/8/17 22:45,29.38,78,0.404297
2018/8/17 23:00,34.28,117,0.720703
2018/8/17 23:15,63.83,135,0.801562
2018/8/17 23:30,69.1,164,0.741797
2018/8/17 23:45,77.87,136,0.720703
2018/8/18 0:00,106.21,213,1.075781
2018/8/18 0:15,112.96,171,0.95625
